Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
'85171220,"Telephones for cellular networks ""mobile telephones"" or for other wireless networks: presented ...",0,0,0,0,0,0,0,2713,70977,51480
'84109000,Parts of hydraulic turbines and water wheels incl. regulators,20986,7376,55142,82704,34582,61892,14289,98884,11084,50731
'84128000,"Engines and motors (excluding steam turbines, internal combustion piston engine, hydraulic ...",102,520,48701,162202,83744,61537,44731,155735,18693,49874
'30042000,"Medicaments containing antibiotics, put up in measured doses ""incl. those in the form of transdermal ...",13302,4264,4252,37158,10724,8093,8136,25818,29714,48825
'73089090,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",76923,101154,90237,176908,205438,176033,137360,101818,85306,48409
'27101910,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",106961,97935,145691,96446,166270,127159,40238,224860,129776,48033
'21069090,"Food preparations, n.e.s.: other",1748,1757,3463,2655,3769,4206,3228,12072,12382,46507
'39076900,"Poly""ethylene terephthalate"", in primary forms, having a viscosity number of < 78 ml/g",0,0,0,0,0,0,0,23256,28261,46303
'87032313,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",0,0,0,0,0,0,0,8013,22831,43734
'39232990,"Sacks and bags, incl. cones, of plastics (excluding those of polymers of ethylene): other",7379,8599,7675,15475,4445,3824,2596,4522,16653,42847
'94069000,"Prefabricated buildings, whether or not complete or already assembled (excl. of wood)",0,0,0,0,0,0,0,24857,31977,42012
'19019090,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ...",48621,21569,27192,32564,93205,46036,29544,30447,33583,41792
'87032111,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",0,0,0,0,0,0,0,1306,44285,39697
'17011300,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter, obtained ...",0,0,55462,61565,67427,59033,66647,3352,104370,38037
'87032112,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",0,0,0,0,0,0,0,2068,11537,37640
