Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
'85176100,"Base stations of apparatus for the transmission or reception of voice, images or other data",1007,83,630,459,95,1093,638,694,3224,4668
'73090000,"Reservoirs, tanks, vats and similar containers, of iron or steel, for any material other than ...",4680,8922,6448,7703,14495,13214,10156,8967,9091,4667
'30045000,"Medicaments containing provitamins, vitamins, incl. natural concentrates and derivatives thereof ...",2321,2629,3201,2923,3421,5152,2477,2811,1837,4635
'84472000,Flat knitting machines; stitch-bonding machines,0,0,0,0,0,0,0,0,,4618
'48109910,"Paper and paperboard, coated on one or both sides with kaolin ""china clay"" or other inorganic ...",13,0,0,39,147,702,588,1636,2396,4598
'76101000,"Doors, windows and their frames and thresholds for door, of aluminium (excluding door furniture)",1702,2747,3216,10606,6548,10117,7146,6599,5161,4597
'85049090,"Parts of electrical transformers and inductors, n.e.s.: other",3989,6594,11595,24311,20665,16096,9221,17733,16185,4585
'84099990,Parts suitable for use solely or principally with compression-ignition internal combustion ...,0,0,0,0,0,0,0,1171,3587,4575
'39173100,"Flexible tubes, pipes and hoses, of plastics, burst pressure >= 27,6 mpa",1999,1118,2821,982,1153,2275,1461,2418,1913,4538
'73066100,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron ...",5797,7865,3918,2979,1679,2098,1932,2166,4220,4533
'84717010,Storage units for automatic data-processing machines: solely or principally for external use ...,0,0,0,0,0,0,0,1347,4491,4526
'27101960,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",0,0,0,0,0,0,0,119,801,4507
'38089210,"Fungicides (excluding goods of subheading 3808.50): fungicides,containing bromomethane(methyl-bromide) ...",128,203,140,4,2,177,0,55,2350,4490
'85354000,"Lightning arresters, voltage limiters and surge suppressors, for a voltage > 1.000 v",2044,806,8045,5545,5252,3941,4573,1519,686,4488
'84279000,"Works trucks fitted with lifting or handling equipment, not self-propelled",9602,17522,7537,3973,8111,10513,13031,5230,13370,4482
'33072000,Personal deodorants and antiperspirants,2964,2754,3177,4306,3894,3954,4036,5790,4389,4470
'62114900,"Women's or girls' tracksuits and other garments, n.e.s. of textile materials (excluding of ...",224,88,435,3557,3186,4496,4384,6983,7393,4458
'21069040,"Food preparations, n.e.s.: powder soft drinks",435,1077,1191,1885,2100,2596,3275,4579,4219,4432
'34021900,"Organic surface-active agents, whether or not put up for retail sale (excluding anionic, cationic ...",420,227,1527,2469,3228,4099,2186,2934,2091,4423
'84743200,Machines for mixing mineral substances with bitumen,6079,2265,9532,3868,8057,8360,2286,1658,4120,4420
'73239400,"Table, kitchen or other household articles, and parts thereof, of iron other than cast iron ...",3722,2801,4024,6078,4763,4792,5029,3368,5506,4409
'28365000,Calcium carbonate,3189,3073,3343,5346,4737,5748,5874,3744,3838,4370
'83021000,"Hinges of all kinds, of base metal",2245,2550,3142,3269,3504,4403,4035,4775,4521,4365
'84559000,"Parts of metal-rolling mills, n.e.s.",3523,419,9860,7804,7610,5138,3877,6734,2714,4356
'76051100,"Wire of non-alloy aluminium, with a maximum cross-sectional dimension of > 7 mm (excluding ...",3,458,2214,2585,2079,1011,1365,3526,3061,4347
'84361000,Machinery for preparing animal feedingstuffs in agricultural holdings and similar undertakings ...,730,96,29,106,453,254,880,2662,1924,4342
'42021900,"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar containers ...",2008,1838,2709,2762,2807,3198,3054,2320,2084,4331
'73084000,"Equipment for scaffolding, shuttering, propping or pit-propping (excluding composite sheetpiling ...",6513,8779,5766,13807,12607,15101,6443,5554,9106,4326
'39013010,"Ethylene-vinyl acetate copolymers, in primary forms: granules",0,0,0,0,0,0,0,4364,11782,4320
'72082500,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",1207,732,2095,3690,4867,3742,748,3785,4249,4317
'68022100,"Marble, travertine and alabaster articles thereof, simply cut or sawn, with a flat or even ...",500,419,607,776,1563,2620,2195,1284,3280,4317
'62059000,"Men's or boys' shirts of textile materials (excluding of cotton or man-made fibres, knitted ...",3988,4431,4201,10533,8794,8333,7176,4902,6006,4317
'85353000,"Isolating switches and make-and-break switches, for a voltage > 1.000 v",344,1200,5208,10688,5339,5778,6169,1255,3098,4306
'27129000,"Paraffin wax, microcrystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, ...",874,1980,2511,2133,2230,1028,1450,2565,1505,4260
'76012000,Unwrought aluminium alloys,348,137,47,65,72,12,1411,5342,3320,4243
'84219900,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",1952,2379,9312,2039,19027,6119,20451,14442,6908,4242
'11031110,Groats and meal of wheat: durum wheat semolina,0,0,0,0,0,0,0,0,3199,4195
'76042920,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.: profiles",0,0,0,0,0,0,0,0,,4184
'30059000,"Wadding, gauze, bandages and the like, e.g. dressings, adhesive plasters, poultices, impregnated ...",3346,2592,3272,3341,3660,2123,3826,7152,6252,4176
'72044100,"Turnings, shavings, chips, milling waste, sawdust, filings, trimmings and stampings of iron ...",0,184,0,0,2,1,0,9,2617,4155
'85122000,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,2096,2604,4741,2781,2926,3778,3400,3877,4366,4149
'87041021,Dumpers for off-highway use: of age not exceeding four years,0,0,0,0,0,0,0,2909,5363,4125
'52114200,"Denim, containing predominantly, but < 85% cotton by weight, mixed principally or solely with ...",0,0,0,7,1,444,229,385,396,4121
'87085000,"Drive-axles with differential, whether or not provided with other transmission components, ...",1009,1208,1071,1606,1476,2210,743,905,978,4113
'94035090,Wooden furniture for bedrooms (excluding seats): other,3531,2302,3083,2570,2677,3109,5792,3722,2419,4102
'76151090,"Table, kitchen or other household articles and parts thereof, and pot scourers and scouring ...",0,0,0,3926,6668,6792,4453,4664,4839,4099
'87111010,"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with reciprocating internal ...",0,0,0,0,0,0,0,211,106,4094
'84186920,"Refrigerating or freezing equipment (excluding refrigerating and freezing furniture): other, ...",0,0,0,0,0,0,0,916,1935,4051
'72085100,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",1396,36,1021,1743,2219,6330,409,6127,3574,4042
'34022010,"Surface-active preparations, washing preparations, auxiliary washing preparations and cleaning ...",388,606,667,1023,658,1263,2383,3660,3793,4040
'63014000,"Blankets and travelling rugs of synthetic fibres (excluding electric, table covers, bedspreads ...",3674,4809,6274,5814,6142,7030,6727,5036,3245,4027
'84151000,"Window or wall air conditioning machines, self-contained or ""split-system""",0,0,4529,3886,5460,7891,3234,2741,5566,4022
'83024900,"Base metal mountings, fittings and similar articles (excluding locks with keys, clasps and ...",2937,4152,4693,4189,4740,5252,3670,5439,4506,4022
'39199090,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",0,0,0,0,0,0,0,0,797,4019
'48030090,"Toilet or facial tissue stock, towel or napkin stock and similar paper for household or sanitary ...",3765,5402,6562,6697,7594,7642,5111,1445,497,3989
'84212390,Oil or petrol-filters for internal combustion engines: other oil or petrol filters for internal ...,4101,4117,5371,6137,6226,4427,4096,5143,4206,3985
'94038900,"Furniture of other mareials, including cane, osier or similar materials (excluding of bamboo, ...",1981,1535,1829,1931,2712,2378,2908,4397,3860,3978
'39172900,"Rigid tubes, pipes and hoses, of plastics (excluding those of polymers of ethylene, propylene ...",9608,6319,10270,26038,19001,78694,6395,10725,3893,3977
'38140090,"Organic composite solvents and thinners, n.e.s.; prepared paint or varnish removers (excluding ...",2513,4078,3869,5091,6417,5226,6303,6163,5523,3970
'33030000,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",5368,6730,9966,5953,5222,6352,7998,6196,3078,3969
'83030000,"Armoured or reinforced safes, strongboxes and doors and safe deposit lockers for strongrooms, ...",2045,2098,1470,2460,2001,1786,2660,3621,3390,3954
'62143000,"Shawls, scarves, mufflers, mantillas, veils and similar articles of synthetic fibres (excluding ...",4750,5563,8708,8484,7777,7175,6464,3131,2952,3945
'39075000,"Alkyd resins, in primary forms",892,805,1451,2883,4029,3085,2362,8818,3652,3944
'27111910,"Gaseous hydrocarbons, liquefied, n.e.s. (excluding natural gas, propane, butane, ethylene, ...",8246,13959,13045,12528,10422,8053,12605,7420,8592,3923
'70052100,"Float glass and surface ground glass, in sheets, coloured throughout the mass ""body tinted"", ...",3536,3465,4011,4362,5265,7048,4773,9341,6348,3911
'54074190,"Woven fabrics of yarn containing >= 85% by weight of filaments of nylon or other polyamides, ...",0,0,0,0,0,1181,875,2275,3916,3887
'48211000,"Paper or paperboard labels of all kinds, printed",2406,4799,6687,11666,9168,10633,8542,6396,5059,3882
'13021300,Extracts of hops,2696,3290,4050,3793,4668,4556,6117,6375,5083,3878
'29157090,"Palmitic acid, stearic acid, their salts and esters: other",0,2266,750,340,250,880,2376,3298,4506,3876
'48051100,"Semi-chemical fluting paper, uncoated, in rolls of a width > 36 cm",2831,3918,6465,5903,4668,3445,6033,6977,6372,3872
'72083700,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",259,66,223,947,1690,1903,805,2280,992,3872
'85043490,Transformers having a power handling capacity > 500 kva (excluding liquid dielectric transformers): ...,0,0,0,0,0,0,0,3599,7285,3833
'84384000,"Brewery machinery (excluding centrifuges and filtering, heating or refrigerating equipment)",2227,14918,80163,6370,42700,9718,10048,18044,4579,3807
'73069000,"Tubes, pipes and hollow profiles ""e.g., open seam, riveted or similarly closed"", of iron or ...",14382,18559,18242,17231,27894,19687,8562,26488,13938,3801
'39219090,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",0,0,0,0,0,0,0,0,749,3790
'90258000,"Hydrometers, areometers and similar floating instruments, barometers, hygrometers and psychrometers, ...",505,237,564,442,856,1069,603,978,989,3772
'73121000,"Stranded wire, ropes and cables, of iron or steel (excluding electrically insulated products ...",2676,7911,16089,5218,4683,5407,2045,2359,3165,3769
'84186990,Refrigerating or freezing equipment (excluding refrigerating and freezing furniture): other,0,0,0,0,0,0,0,4421,2302,3752
'84131100,"Pumps fitted or designed to be fitted with a measuring device, for dispensing fuel or lubricants, ...",2060,1754,2886,3124,3115,2673,6540,1893,1905,3723
'35061000,"Products suitable for use as glues or adhesives put up for retail sale as glues or adhesives, ...",3512,5384,6062,5177,6148,5438,5011,6962,4942,3723
'30049010,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...",5537,731,868,1980,1645,1747,1435,1760,2125,3714
'40118000,"New pneumatic tyres, of rubber, of a kind used on construction, mining or industrial handling ...",0,0,0,0,0,0,0,892,2039,3705
'84807100,Injection or compression-type moulds for rubber or plastics,2847,3077,2698,3708,4966,5186,7116,8029,8235,3704
'39235000,"Stoppers, lids, caps and other closures, of plastics",1115,1322,2709,2467,1800,1688,2531,4467,3622,3693
'42033000,"Belts and bandoliers, of leather or composition leather",1101,2141,2861,1977,1851,2232,3238,2437,2804,3686
'84261200,Mobile lifting frames on tyres and straddle carriers,1195,902,2001,1329,1656,160,551,280,771,3680
'62113900,"Men's or boys' tracksuits and other garments, n.e.s. of textile materials (excluding of cotton ...",7321,8279,26929,29611,30933,19806,15361,7053,4293,3659
'85311000,Burglar or fire alarms and similar apparatus,670,862,2996,3897,4948,5361,3274,4655,6710,3644
'84144000,Air compressors mounted on a wheeled chassis for towing,4322,4432,5828,4624,6363,6539,4246,4318,5872,3641
'85167900,"Electro-thermic appliances, for domestic use (excluding hairdressing appliances and hand dryers, ...",807,1191,2946,1597,1585,3707,2696,3305,3057,3639
'84185020,"Furniture ""chests, cabinets, display counters, show-cases and the like"" for storage and display, ...",0,0,0,0,0,0,0,4327,5039,3630
'84514000,"Machines for washing, bleaching or dyeing textile yarns, fabrics or made-up textile articles ...",913,5137,5101,9255,4714,4359,3390,4399,3714,3627
'39201010,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",0,0,0,0,0,0,0,0,708,3620
'72172000,"Wire of iron or non-alloy steel, in coils, plated or coated with zinc (excluding bars and rods)",2788,4978,5825,4806,4057,3784,2754,3373,2228,3604
'84304100,Self-propelled boring or sinking machinery for boring earth or extracting minerals or ores ...,5385,13852,2656,8510,7873,5424,2427,4141,2587,3583
'83091000,Crown corks of base metal,6320,8028,9305,5969,3394,8577,9818,4589,2660,3567
'32042000,"Synthetic organic products of a kind used as fluorescent brightening agents, whether or not ...",249,483,516,558,841,728,146,673,2330,3560
'39073000,"Epoxide resins, in primary forms",1568,1984,2054,3306,5359,4032,2588,5078,4368,3556
'84248900,"Mechanical appliances, whether or not hand-operated, for projecting, dispersing or spraying ...",4370,1733,1591,2094,2630,3205,4718,3015,3948,3499
'84314300,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",13651,20764,10480,6174,5589,7052,4920,3550,27180,3493
'85351000,Fuses for a voltage > 1.000 v,241,94,470,1497,179,1031,2398,172,101,3492
'84335100,Combine harvester-threshers,6389,10440,3440,8021,6766,13444,2542,11425,36378,3485
'65050000,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile ...",0,0,834,1184,1231,1331,1242,1374,4204,3485
'84433200,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",6320,7150,5407,6099,11302,6513,4111,8925,6294,3483
'72101200,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...",31519,14540,24693,26574,30631,34663,18716,7131,3039,3481
'90275000,"Instruments and apparatus for physical or chemical analysis, using uv, visible or ir optical ...",594,1156,582,1641,1613,808,444,4522,6841,3478
'85030010,"Parts suitable for use solely or principally with electric motors and generators, electric ...",6531,9616,15323,9085,1464,6644,202,346,1012,3464
'84244100,"Agricultural or horticultural sprayers, portable",0,0,0,0,0,0,0,195,2241,3460
'17049000,"Sugar confectionery not containing cocoa, incl. white chocolate (excluding chewing gum)",2737,2349,3820,2540,3428,3393,4915,3795,1820,3459
'39209990,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",0,0,0,0,0,0,0,0,28,3455
'72104190,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...",0,0,0,0,0,0,0,12738,11261,3450
'84659900,"Machine tools for working wood, cork, bone, hard rubber, hard plastics or similar hard materials ...",1537,1022,1486,1739,5155,4639,6484,3712,3279,3445
'39092000,"Melamine resins, in primary forms",309,487,174,246,682,781,815,1256,1375,3436
'73201000,"Leaf-springs and leaves therefor, of iron or steel (excluding clock and watch springs and shock ...",3377,2321,2986,3077,3535,2472,1016,3816,4027,3429
'87033213,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",0,0,0,0,0,0,0,1025,2256,3418
'85131040,"Portable electrical lamps designed to function by their own source of energy: flash-lights, ...",0,0,0,0,0,0,0,2650,6789,3412
'85469000,Electrical insulators (excluding those of glass or ceramics and insulating fittings),2852,3330,6372,4347,7283,9299,8394,12698,6975,3409
'84136000,"Rotary positive displacement pumps for liquids, power-driven (excluding those of subheading ...",0,0,0,0,0,0,23,624,3446,3379
'87051012,Crane lorries (excluding breakdown lorries): completely built up (cbu),0,0,0,0,0,0,0,1228,4289,3374
'94019000,"Parts of seats, n.e.s.",728,1762,2160,8088,2159,5832,4974,4300,3336,3372
'94033090,Wooden furniture for offices (excluding seats): other,0,0,493,7748,709,744,1282,2103,3071,3363
'85359000,"Electrical apparatus for switching or protecting electrical circuits, or for making connections ...",345,6373,3100,11402,9408,7539,1604,9378,4665,3349
'76109090,"Structures and parts of structures, of aluminium, n.e.s., and plates, rods, profiles, tubes ...",0,0,0,0,0,0,0,0,,3343
'84238210,Weighing machinery of a maximum weighing capacity > 30 kg but <= 5.000 kg (excluding personal ...,0,0,0,0,0,0,0,0,498,3341
'85030000,"Parts suitable for use solely or principally with electric motors and generators, electric ...",0,0,0,0,0,0,0,0,,3336
'85381000,"Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not ...",2297,10798,15873,15544,11773,11161,10526,4585,2990,3324
'84431600,Flexographic printing machinery,454,236,765,1201,252,465,565,3391,1753,3304
'84382000,"Machinery for the industrial preparation or manufacture of confectionery, cocoa or chocolate ...",0,0,845,800,918,1295,620,401,3992,3302
'38190000,Hydraulic brake fluids and other prepared liquids for hydraulic transmission not containing ...,2854,1950,3107,2960,3356,1729,3108,1407,2266,3285
'69101000,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",1290,1654,1396,2336,2540,3589,2858,3041,2864,3277
'84798920,"Machines and mechanical appliances, n.e.s.: machines,having individual functions use for industrial ...",12028,2648,8318,15277,11983,8086,6965,11445,6544,3275
'85152100,Fully or partly automatic machines for resistance welding of metals,166,1124,167,3391,794,1395,993,1251,1527,3273
'39173990,"Flexible tubes, pipes and hoses, of plastics, reinforced or otherwise combined with other materials ...",0,0,0,0,0,0,0,0,2610,3273
'87042111,"Motor vehicles for the transport of goods, with compression-ignition internal combustion piston ...",0,0,0,0,0,0,0,53,795,3265
'84439990,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",1373,853,3327,3109,4163,4718,3318,3930,2743,3262
'44071200,"Fir ""abies spp."" and spruce ""picea spp."" sawn or chipped lengthwise, sliced or peeled, whether ...",0,0,0,0,0,0,0,607,2841,3254
'84811000,Pressure-reducing valves,3500,3450,4222,3548,4778,10518,2821,3134,2836,3251
'39231000,"Boxes, cases, crates and similar articles for the conveyance or packaging of goods, of plastics",3240,3218,2985,5745,4946,1604,1646,2887,6660,3249
'84379000,Parts of machinery used in the milling industry or for the working of cereals or dried leguminous ...,2874,2367,2203,3188,3694,3989,4408,6123,4094,3248
'32041100,Synthetic organic disperse dyes; preparations based on synthetic organic disperse dyes of a ...,319,718,1782,1920,3408,3016,1919,3343,4031,3237
'96170000,"Vacuum flasks and other vacuum vessels, and parts thereof (excluding glass inners)",939,1952,1720,2501,2928,3001,3447,2255,4331,3228
'38099100,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products ...",2283,1839,1473,1452,1592,2120,2046,3415,4224,3225
'19042000,Prepared foods obtained from unroasted cereal flakes or from mixtures of unroasted cereal flakes ...,173,140,272,272,104,182,84,140,632,3221
'84515000,"Machines for reeling, unreeling, folding, cutting or pinking textile fabrics",182,1976,2879,1108,2048,5574,7290,5625,4003,3219
'34039900,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",593,3167,2337,2880,3847,3032,2410,2604,2112,3214
'86079900,"Parts of rolling stock of heading 8603, 8604, 8605 or 8606, n.e.s.",0,0,332,1708,749,549,5675,171,1747,3201
'90248000,Machines and appliances for testing the mechanical properties of materials (excluding metals),7439,3192,3622,2807,3918,3313,2766,3051,2837,3198
'12024200,"Groundnuts, shelled, whether or not broken (excluding seed for sowing, roasted or otherwise ...",0,0,1,2,1,752,377,1230,2057,3195
'39191090,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, in ...",0,0,0,0,0,0,0,0,491,3188
'62101000,"Garments made up of felt or nonwovens, whether or not impregnated, coated, covered or laminated ...",25,26,260,232,142,50,17428,88,3517,3186
'84295200,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360° revolving su ...",28540,11738,7011,8438,28102,33681,15766,10911,7760,3175
'85043290,"Transformers, having a power handling capacity > 1 kva but <= 16 kva (excluding liquid dielectric ...",0,0,0,0,0,0,0,1517,383,3158
'87029016,"Motor vehicles for the transport of >= 10 persons, incl. driver, not with compression-ignition ...",0,0,0,0,0,0,0,1296,2363,3156
'72099000,"Flat-rolled products of iron or steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", ...",10580,34330,13964,16200,14340,10244,6088,3883,7445,3155
'85181000,Microphones and stands therefor (excluding cordless microphones with built-in transmitter),1902,2981,1458,1827,2342,2821,2497,2127,3413,3151
'70109000,"Carboys, bottles, flasks, jars, pots, phials and other containers, of glass, of a kind used ...",13232,16699,20084,27079,24102,18477,12014,18047,10665,3146
'84139100,"Parts of pumps for liquids, n.e.s.",8030,4199,21910,3945,5539,4052,39337,4250,2655,3144
'87041023,Dumpers for off-highway use: of age exceeding seven years,0,0,0,0,0,0,0,661,4956,3132
'95030090,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...",0,663,1323,1822,1602,1555,1570,2364,3191,3132
'44182000,"Doors and their frames and thresholds, of wood",2131,2089,2675,4406,6781,5309,6064,4270,2619,3126
'84529000,"Furniture, bases and covers for sewing machines and parts thereof; other parts of sewing machines",669,525,1382,3325,3394,3675,4085,4514,3976,3121
'84229090,"Parts of dishwashing machines, packing or wrapping machinery and other machinery and apparatus ...",3025,7710,10838,6350,5012,4477,4915,6514,6441,3120
'48191000,"Cartons, boxes and cases, of corrugated paper or paperboard",590,985,1362,1858,2413,2332,3072,3190,2302,3107
'62044300,Women's or girls' dresses of synthetic fibres (excluding knitted or crocheted and petticoats),1403,2084,2495,5054,5575,5544,3609,3325,3248,3106
'90273000,"Spectrometers, spectrophotometers and spectrographs using optical radiations, such as uv, visible, ...",1305,1660,1622,1171,2259,2003,1365,2602,5169,3086
'96190010,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",0,0,146,273,134,383,614,441,221,3085
'83013000,"Locks used for furniture, of base metal",757,912,941,801,1638,1471,972,1253,1421,3051
'87041022,Dumpers for off-highway use: of age exceeding fiour years but not exceeding seven years,0,0,0,0,0,0,0,1331,4808,3045
'21023000,Prepared baking powders,872,705,817,711,670,921,721,2097,1635,3038
'24022000,"Cigarettes, containing tobacco",5010,5982,8452,7066,7730,7604,5932,8905,3959,3032
'84213110,Intake air filters for internal combustion engines: intake air filter for road motor vehicles,3149,4569,6350,7541,6117,5692,3100,4940,4616,3028
'85044010,Static converters: semi knoked down (skd) to be assembled by domestic industry,771,513,280,305,1956,1117,4262,2634,2107,3018
'33059010,"Preparations for use on the hair (excluding shampoos, preparations for permanent waving or ...",0,0,0,0,0,0,0,0,2716,3008
'39051200,"Poly""vinyl acetate"", in aqueous dispersion",2279,3293,4382,4667,3808,2769,1706,4298,977,3001
'87059000,Special purpose motor vehicles (other than those principally designed for the transport of ...,0,0,0,0,0,0,0,0,,2992
'70134900,Glassware for table or kitchen purposes (excluding glass having a linear coefficient of expansion ...,121,208,156,187,1015,793,1905,1751,1289,2987
'85234900,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,0,0,498,4365,2480,8460,2197,2684,973,2986
'84718000,"Units for automatic data-processing machines (excluding processing units, input or output units ...",951,3232,5671,3272,5811,10940,1974,5358,618,2969
'73239990,"Table, kitchen or other household articles, and parts thereof, of iron other than cast iron ...",439,1204,1894,592,1825,922,2560,929,1548,2962
'84828000,"Roller bearings, incl. combined ball-roller bearings (excluding ball bearings, tapered roller ...",3039,2906,4657,3358,4967,6327,4062,4050,3889,2952
'36020000,Prepared explosives (excluding propellent powders),11339,23511,9523,12871,15276,16769,11199,5503,7568,2950
'87032191,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",0,0,0,0,0,0,0,0,,2949
'87112013,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",0,0,0,0,0,0,0,99,2458,2939
'34029000,"Surface-active preparations, washing preparations, incl. auxiliary washing preparations and ...",1642,2706,2386,1639,2552,3298,3463,3132,2177,2926
'76011000,"Aluminium, not alloyed, unwrought",217,1,0,127,989,1707,1407,763,1007,2924
'39241090,"Tableware and kitchenware, of plastics: other",2937,3587,3425,4011,4462,5839,6159,6509,4948,2921
'40021900,"Styrene-butadiene rubber ""sbr""; carboxylated styrene-butadiene rubber ""xsbr"", in primary forms ...",511,125,783,452,337,662,607,1379,1632,2917
'84118200,Gas turbines of a power > 5.000 kw (excluding turbojets and turbopropellers),0,0,3734,623,414,1054,91,1,565,2914
'62032900,"Men's or boys' ensembles of textile materials (excluding of cotton or synthetic fibres, knitted ...",9891,10191,9248,7925,5622,8977,9493,6988,6820,2910
'73079900,"Tube or pipe fittings, of iron or steel (excluding cast iron or stainless steel products; flanges; ...",2815,5216,13344,6495,16672,7952,5494,6521,4776,2909
'72169900,"Angles, shapes and sections, of iron or non-alloy steel, cold-formed or cold-finished and further ...",3469,4572,4325,7090,2560,10326,12021,3138,1782,2909
'84413000,"Machines for making cartons, boxes, cases, tubes, drums or similar containers (other than by ...",252,794,59,780,599,1191,2379,924,1405,2905
'40169900,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",3918,5559,10500,8009,11806,7448,5909,6619,5133,2904
'15121920,"Sunflower-seed or safflower oil and their fractions, whether or not refined, but not chemically ...",0,0,0,0,0,0,0,0,1367,2903
'84831000,"Transmission shafts, incl. cam shafts and crank shafts, and cranks",3376,4827,6989,4537,4147,3852,2536,3083,3185,2891
'38086200,"Goods of heading 3808, containing alpha-cypermethrin ""iso"", bendiocarb ""iso"", bifenthrin ""iso"", ...",0,0,0,0,0,0,0,0,1843,2881
'73110000,"Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically ...",958,1433,5548,6660,4565,3966,3248,6568,25655,2879
'48201000,"Registers, account books, notebooks, order books, receipt books, letter pads, memorandum pads, ...",2276,3662,3401,2995,4326,4007,3846,4630,2705,2877
'39259000,"Building elements for the manufacture of floors, walls, partition walls, ceilings, roofs, etc., ...",2326,2614,2996,4011,3872,2980,3033,3274,6575,2876
'32041900,"Synthetic organic colouring matter (excluding disperse dyes, acid dyes, mordant dyes, basic ...",524,296,899,990,511,2125,1610,3370,3662,2868
'85016200,"Ac generators ""alternators"", of an output > 75 kva but <= 375 kva",3070,3085,5993,8873,8724,2771,9896,3922,834,2866
'73170000,"Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, ...",8081,6985,8965,5257,5610,6067,7995,11550,6880,2864
'85372090,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",0,0,0,0,0,0,0,0,,2859
'84431900,"Printing machinery used for printing by means of plates, cylinders and other printing components ...",4223,4569,7549,6787,2224,5842,4372,4409,3940,2852
'40141000,"Sheath contraceptives, of vulcanised rubber (excluding hard rubber)",9008,4362,4359,6477,4424,3465,3752,2681,2725,2851
'85443000,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",181,307,1078,810,2386,1672,3410,2595,2606,2850
'54011090,"Sewing thread of synthetic filaments, whether or not put up for retail sale: other",0,0,0,0,0,0,0,0,898,2845
'48239090,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, in strips or rolls of a ...",644,603,600,610,667,774,1214,2175,4339,2839
'39189090,"Floor coverings of plastics, whether or not self-adhesive, in rolls or in the form of tiles, ...",1318,2963,2294,2664,3244,2162,2377,5184,3935,2839
'87043123,"Motor vehicles for the transport of goods, with spark-ignition internal combustion piston engine, ...",0,0,0,0,0,0,0,4042,11220,2839
'90328930,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",0,0,0,0,0,0,0,0,826,2837
'70071900,"Toughened ""tempered"" safety glass (excluding glass of size and shape suitable for incorporation ...",277,392,441,1354,545,1443,1030,1971,2553,2834
'84172010,"Bakery ovens, incl. biscuit ovens, non-electric: presented skd for the assembly industry",0,0,0,0,0,0,0,1,12,2833
'84836000,"Clutches and shaft couplings, incl. universal joints, for machinery",1154,3069,2304,3288,5091,2054,1831,1910,1726,2829
'74081100,"Wire of refined copper, with a maximum cross-sectional dimension of > 6 mm",22075,9831,18663,14969,19063,13694,13678,16975,5427,2827
